```
$ ./bin/bench_kernels
2023-01-04T07:59:56+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.69, 0.60, 0.70
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
Hadamard<float>/AVX2/24                       500857199 ns    500697584 ns            1
Rot<float>/AVX2/6                                 10669 ns        10667 ns        65748
Rot<float>/AVX2/8                                 12540 ns        12539 ns        54928
Rot<float>/AVX2/10                                20888 ns        20886 ns        33558
Rot<float>/AVX2/12                                55875 ns        55868 ns        12517
Rot<float>/AVX2/14                               200069 ns       200030 ns         3522
Rot<float>/AVX2/16                               752540 ns       752445 ns          922
Rot<float>/AVX2/18                              3753476 ns      3753080 ns          187
Rot<float>/AVX2/20                             16214474 ns     16213864 ns           43
Rot<float>/AVX2/22                            116697766 ns    116684145 ns            6
Rot<float>/AVX2/24                            531750336 ns    531619099 ns            1
RZ<float>/AVX2/6                                   4777 ns         4776 ns       145665
RZ<float>/AVX2/8                                   6207 ns         6206 ns       111602
RZ<float>/AVX2/10                                 11898 ns        11897 ns        57953
RZ<float>/AVX2/12                                 36365 ns        36362 ns        18967
RZ<float>/AVX2/14                                141801 ns       141791 ns         5011
RZ<float>/AVX2/16                                556893 ns       556837 ns         1250
RZ<float>/AVX2/18                               3332854 ns      3332721 ns          212
RZ<float>/AVX2/20                              14704080 ns     14702991 ns           47
RZ<float>/AVX2/22                             111457538 ns    111437441 ns            6
RZ<float>/AVX2/24                             517550180 ns    517492853 ns            1
RY<float>/AVX2/6                                   4727 ns         4726 ns       148255
RY<float>/AVX2/8                                   6033 ns         6032 ns       114192
RY<float>/AVX2/10                                 10927 ns        10926 ns        63762
RY<float>/AVX2/12                                 32980 ns        32977 ns        21769
RY<float>/AVX2/14                                122401 ns       122391 ns         5746
RY<float>/AVX2/16                                483907 ns       483868 ns         1468
RY<float>/AVX2/18                               3274850 ns      3274242 ns          214
RY<float>/AVX2/20                              14431137 ns     14429189 ns           48
RY<float>/AVX2/22                             110940878 ns    110922730 ns            6
RY<float>/AVX2/24                             513829891 ns    513736971 ns            1
RX<float>/AVX2/6                                   4738 ns         4737 ns       144137
RX<float>/AVX2/8                                   6206 ns         6205 ns       111408
RX<float>/AVX2/10                                 12176 ns        12175 ns        57486
RX<float>/AVX2/12                                 36880 ns        36875 ns        19232
