```
$ ./benchmark_all.sh
2023-01-01T19:38:25+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 1.64, 1.64, 1.47
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
Hadamard<float>/AVX2/8                            19412 ns        19412 ns       107204
Hadamard<float>/AVX2/10                           14119 ns        14119 ns        65587
Hadamard<float>/AVX2/12                           99412 ns        99412 ns        13377
Hadamard<float>/AVX2/14                          691089 ns       691079 ns         1000
Hadamard<float>/AVX2/16                         1466567 ns      1466558 ns          522
Hadamard<float>/AVX2/18                         4443629 ns      4443355 ns          213
Hadamard<float>/AVX2/20                        14828509 ns     14827930 ns           42
Hadamard<float>/AVX2/22                       107042494 ns    107033645 ns            7
Hadamard<float>/AVX2/24                       535060728 ns    535053681 ns            1
Rot<float>/AVX2/6                                 11023 ns        11023 ns        64580
Rot<float>/AVX2/8                                 13021 ns        13021 ns        53962
Rot<float>/AVX2/10                                21341 ns        21341 ns        32731
Rot<float>/AVX2/12                                57237 ns        57234 ns        12031
Rot<float>/AVX2/14                               202041 ns       202039 ns         3434
Rot<float>/AVX2/16                               785349 ns       785293 ns          893
Rot<float>/AVX2/18                              3772344 ns      3772309 ns          184
Rot<float>/AVX2/20                             15991466 ns     15990838 ns           44
Rot<float>/AVX2/22                            116117070 ns    116112681 ns            6
Rot<float>/AVX2/24                            528424712 ns    528380363 ns            1
RZ<float>/AVX2/6                                   4872 ns         4870 ns       143038
RZ<float>/AVX2/8                                   6378 ns         6376 ns       109575
RZ<float>/AVX2/10                                 12483 ns        12481 ns        57079
RZ<float>/AVX2/12                                 37277 ns        37275 ns        18574
RZ<float>/AVX2/14                                143145 ns       143100 ns         4740
RZ<float>/AVX2/16                                579635 ns       579579 ns         1195
RZ<float>/AVX2/18                               3337072 ns      3336914 ns          208
RZ<float>/AVX2/20                              14545707 ns     14545293 ns           48
RZ<float>/AVX2/22                             110138155 ns    110124328 ns            6
RZ<float>/AVX2/24                             502031380 ns    502012463 ns            1
RY<float>/AVX2/6                                   4791 ns         4789 ns       143505
RY<float>/AVX2/8                                   6219 ns         6218 ns       113947
RY<float>/AVX2/10                                 11220 ns        11220 ns        62661
RY<float>/AVX2/12                                 32452 ns        32450 ns        20951
RY<float>/AVX2/14                                122098 ns       122097 ns         5677
RY<float>/AVX2/16                                484006 ns       483987 ns         1437
RY<float>/AVX2/18                               3232902 ns      3232561 ns          216
RY<float>/AVX2/20                              13989154 ns     13988553 ns           50
RY<float>/AVX2/22                             104389487 ns    104381514 ns            6
RY<float>/AVX2/24                             494015201 ns    493978493 ns            2
RX<float>/AVX2/6                                   4739 ns         4738 ns       148338
RX<float>/AVX2/8                                   6223 ns         6223 ns       112545
RX<float>/AVX2/10                                 12022 ns        12022 ns        57815
RX<float>/AVX2/12                                 36910 ns        36908 ns        18668
RX<float>/AVX2/14                                140400 ns       140391 ns         4960
RX<float>/AVX2/16                                567199 ns       567172 ns         1231
RX<float>/AVX2/18                               3298780 ns      3297758 ns          211
RX<float>/AVX2/20                              14437491 ns     14432478 ns           48
RX<float>/AVX2/22                             107207216 ns    107177681 ns            6
RX<float>/AVX2/24                             526333226 ns    526290741 ns            2
SWAP<float>/AVX2/6                                 4381 ns         4379 ns       156277
SWAP<float>/AVX2/8                                 5541 ns         5540 ns       126228
SWAP<float>/AVX2/10                                9763 ns         9761 ns        72014
SWAP<float>/AVX2/12                               28022 ns        28021 ns        25150
SWAP<float>/AVX2/14                               96851 ns        96845 ns         7514
SWAP<float>/AVX2/16                              373219 ns       373172 ns         1877
SWAP<float>/AVX2/18                             2208022 ns      2207640 ns          313
SWAP<float>/AVX2/20                            10054454 ns     10053693 ns           65
SWAP<float>/AVX2/22                            83564287 ns     83559684 ns            8
SWAP<float>/AVX2/24                           407341326 ns    407168624 ns            2
CZ<float>/AVX2/6                                   4138 ns         4137 ns       169102
CZ<float>/AVX2/8                                   5049 ns         5048 ns       100000
CZ<float>/AVX2/10                                  7657 ns         7656 ns        89638
CZ<float>/AVX2/12                                 17439 ns        17435 ns        35545
CZ<float>/AVX2/14                                 64806 ns        64792 ns        10040
CZ<float>/AVX2/16                                244512 ns       244457 ns         2950
CZ<float>/AVX2/18                               1366357 ns      1366278 ns          496
CZ<float>/AVX2/20                               7041039 ns      7040487 ns           91
CZ<float>/AVX2/22                              67980544 ns     67968508 ns           10
CZ<float>/AVX2/24                             255671146 ns    255597593 ns            3
CNOT<float>/AVX2/6                                 3821 ns         3821 ns       182561
CNOT<float>/AVX2/8                                 4624 ns         4624 ns       149017
CNOT<float>/AVX2/10                                7664 ns         7663 ns        84018
CNOT<float>/AVX2/12                               20184 ns        20179 ns        35673
CNOT<float>/AVX2/14                               64847 ns        64842 ns        10490
CNOT<float>/AVX2/16                              271166 ns       271105 ns         2444
CNOT<float>/AVX2/18                             1852538 ns      1852370 ns          384
CNOT<float>/AVX2/20                             9423484 ns      9421126 ns           79
CNOT<float>/AVX2/22                            77576559 ns     77570699 ns            9
CNOT<float>/AVX2/24                           357481752 ns    357436413 ns            2
IsingZZ<float>/AVX2/6                              4879 ns         4879 ns       141967
IsingZZ<float>/AVX2/8                              6523 ns         6522 ns       104893
IsingZZ<float>/AVX2/10                            12507 ns        12506 ns        55106
IsingZZ<float>/AVX2/12                            38017 ns        38014 ns        18615
IsingZZ<float>/AVX2/14                           148860 ns       148835 ns         4758
IsingZZ<float>/AVX2/16                           771351 ns       771231 ns         1039
IsingZZ<float>/AVX2/18                          3328382 ns      3328084 ns          199
IsingZZ<float>/AVX2/20                         14814494 ns     14811179 ns           48
IsingZZ<float>/AVX2/22                        106430795 ns    106204177 ns            6
IsingZZ<float>/AVX2/24                        506199794 ns    506164074 ns            1
T<float>/AVX2/6                                    4296 ns         4295 ns       165680
