```
$ docker container run -it --rm 87d4043c66af /opt/install/bin/bench_kernels
2023-01-02T21:25:48+00:00
Running /opt/install/bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.89, 0.80, 0.63
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.6
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
GeneratorRX<float>/AVX2/14                       115772 ns       115756 ns         5752
GeneratorRX<float>/AVX2/16                       474179 ns       474063 ns         1520
GeneratorRX<float>/AVX2/18                      3243935 ns      3242915 ns          213
GeneratorRX<float>/AVX2/20                     13879754 ns     13874954 ns           51
GeneratorRX<float>/AVX2/22                    102157512 ns    102131527 ns            7
GeneratorRX<float>/AVX2/24                    474628308 ns    474555486 ns            2
RX<float>/AVX2/6                                   5481 ns         5480 ns       128686
RX<float>/AVX2/8                                   7202 ns         7199 ns        97156
RX<float>/AVX2/10                                 14434 ns        14434 ns        48554
RX<float>/AVX2/12                                 42355 ns        42350 ns        16093
RX<float>/AVX2/14                                162880 ns       162873 ns         4333
RX<float>/AVX2/16                                627688 ns       627570 ns         1076
RX<float>/AVX2/18                               3587860 ns      3586978 ns          196
RX<float>/AVX2/20                              14789774 ns     14786778 ns           47
RX<float>/AVX2/22                             109082410 ns    109057302 ns            6
RX<float>/AVX2/24                             498769238 ns    498574530 ns            2
RY<float>/AVX2/6                                   5437 ns         5436 ns       132043
RY<float>/AVX2/8                                   7271 ns         7270 ns        96296
RY<float>/AVX2/10                                 14979 ns        14977 ns        47857
RY<float>/AVX2/12                                 46005 ns        45994 ns        15202
RY<float>/AVX2/14                                170008 ns       169990 ns         4147
RY<float>/AVX2/16                                670715 ns       670625 ns         1040
RY<float>/AVX2/18                               3558612 ns      3557698 ns          199
RY<float>/AVX2/20                              14800258 ns     14796064 ns           47
RY<float>/AVX2/22                             110285392 ns    110260854 ns            6
RY<float>/AVX2/24                             499995374 ns    499900378 ns            2
RZ<float>/AVX2/6                                   5477 ns         5476 ns       129747
RZ<float>/AVX2/8                                   7283 ns         7282 ns        96380
RZ<float>/AVX2/10                                 14802 ns        14800 ns        47783
RZ<float>/AVX2/12                                 43973 ns        43970 ns        15684
RZ<float>/AVX2/14                                166676 ns       166659 ns         4018
RZ<float>/AVX2/16                                666924 ns       666911 ns         1021
RZ<float>/AVX2/18                               3699982 ns      3699344 ns          190
RZ<float>/AVX2/20                              15219911 ns     15218249 ns           47
RZ<float>/AVX2/22                             108386691 ns    108367700 ns            6
RZ<float>/AVX2/24                             493206968 ns    493107092 ns            2
Rot<float>/AVX2/6                                  9045 ns         9043 ns        78438
Rot<float>/AVX2/8                                 11405 ns        11404 ns        61459
Rot<float>/AVX2/10                                21266 ns        21264 ns        33214
Rot<float>/AVX2/12                                59139 ns        59129 ns        11487
Rot<float>/AVX2/14                               212817 ns       212805 ns         3192
Rot<float>/AVX2/16                               847781 ns       847662 ns          840
Rot<float>/AVX2/18                              4083801 ns      4083087 ns          175
Rot<float>/AVX2/20                             17679636 ns     17672384 ns           39
Rot<float>/AVX2/22                            110910202 ns    110885590 ns            6
Rot<float>/AVX2/24                            514723971 ns    514610088 ns            1
