```
$ ./bin/bench_kernels 
2023-01-11T22:23:50+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 6.83, 6.42, 6.08
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
GeneratorRX<float>/AVX2/12                        24888 ns        24888 ns        27316
GeneratorRX<float>/AVX2/14                        91179 ns        91179 ns         7692
GeneratorRX<float>/AVX2/16                       360257 ns       360257 ns         1939
GeneratorRX<float>/AVX2/18                      3152181 ns      3152080 ns          221
GeneratorRX<float>/AVX2/20                     13836668 ns     13836707 ns           51
GeneratorRX<float>/AVX2/22                    106036624 ns    106027722 ns            6
GeneratorRX<float>/AVX2/24                    488566534 ns    488527342 ns            2
RX<float>/AVX2/6                                   4236 ns         4236 ns       171420
RX<float>/AVX2/8                                   5565 ns         5565 ns       126858
RX<float>/AVX2/10                                 11463 ns        11463 ns        60878
RX<float>/AVX2/12                                 36346 ns        36346 ns        19262
RX<float>/AVX2/14                                140199 ns       140192 ns         4937
RX<float>/AVX2/16                                557223 ns       557169 ns         1278
RX<float>/AVX2/18                               3426473 ns      3426372 ns          205
RX<float>/AVX2/20                              14696171 ns     14696052 ns           47
RX<float>/AVX2/22                             110257920 ns    110250459 ns            6
RX<float>/AVX2/24                             493437538 ns    493392916 ns            2
RY<float>/AVX2/6                                   4120 ns         4119 ns       173666
RY<float>/AVX2/8                                   5542 ns         5542 ns       129422
RY<float>/AVX2/10                                 10956 ns        10956 ns        63784
RY<float>/AVX2/12                                 33344 ns        33344 ns        20962
RY<float>/AVX2/14                                120484 ns       120485 ns         5859
RY<float>/AVX2/16                                471337 ns       471310 ns         1461
RY<float>/AVX2/18                               3359632 ns      3359353 ns          209
RY<float>/AVX2/20                              14222814 ns     14222855 ns           49
RY<float>/AVX2/22                             106504719 ns    106497734 ns            6
RY<float>/AVX2/24                             486969725 ns    486923054 ns            2
RZ<float>/AVX2/6                                   4174 ns         4174 ns       170575
RZ<float>/AVX2/8                                   5856 ns         5855 ns       124579
RZ<float>/AVX2/10                                 11933 ns        11933 ns        58638
RZ<float>/AVX2/12                                 38153 ns        38153 ns        17906
RZ<float>/AVX2/14                                151167 ns       151167 ns         4663
RZ<float>/AVX2/16                                601544 ns       601478 ns         1171
RZ<float>/AVX2/18                               3505617 ns      3505624 ns          201
RZ<float>/AVX2/20                              15016186 ns     15015216 ns           46
RZ<float>/AVX2/22                             110126355 ns    110122413 ns            6
RZ<float>/AVX2/24                             502197165 ns    502160901 ns            1
Rot<float>/AVX2/6                                  7489 ns         7489 ns        92131
Rot<float>/AVX2/8                                  9673 ns         9673 ns        74176
Rot<float>/AVX2/10                                17933 ns        17932 ns        39594
Rot<float>/AVX2/12                                53630 ns        53630 ns        13262
Rot<float>/AVX2/14                               193232 ns       193232 ns         3751
Rot<float>/AVX2/16                               752418 ns       752358 ns          925
Rot<float>/AVX2/18                              3829106 ns      3828997 ns          180
Rot<float>/AVX2/20                             16039544 ns     16037652 ns           44
Rot<float>/AVX2/22                            113835444 ns    113835683 ns            6
Rot<float>/AVX2/24                            504895844 ns    504858396 ns            1
IsingXX<float>/AVX2/6                              4132 ns         4132 ns       173774
IsingXX<float>/AVX2/8                              5896 ns         5896 ns       120101
IsingXX<float>/AVX2/10                            12678 ns        12677 ns        54911
IsingXX<float>/AVX2/12                            39194 ns        39192 ns        17423
IsingXX<float>/AVX2/14                           154304 ns       154304 ns         4498
IsingXX<float>/AVX2/16                           634201 ns       634202 ns         1137
IsingXX<float>/AVX2/18                          3438628 ns      3438603 ns          198
IsingXX<float>/AVX2/20                         14961555 ns     14961598 ns           47
IsingXX<float>/AVX2/22                        111124174 ns    111090486 ns            6
IsingXX<float>/AVX2/24                        518598320 ns    518599616 ns            1
PauliZ<float>/AVX2/6                               3604 ns         3604 ns       197258
PauliZ<float>/AVX2/8                               4699 ns         4699 ns       149710
PauliZ<float>/AVX2/10                              8685 ns         8685 ns        80581
PauliZ<float>/AVX2/12                             23963 ns        23961 ns        29350
PauliZ<float>/AVX2/14                             85272 ns        85272 ns         8270
PauliZ<float>/AVX2/16                            336633 ns       336631 ns         2085
PauliZ<float>/AVX2/18                           2498990 ns      2498996 ns          288
PauliZ<float>/AVX2/20                          10483059 ns     10483093 ns           62
PauliZ<float>/AVX2/22                          80775845 ns     80774486 ns            9
PauliZ<float>/AVX2/24                         384434659 ns    384427673 ns            2
IsingYY<float>/AVX2/6                              4471 ns         4471 ns       158560
IsingYY<float>/AVX2/8                              6138 ns         6138 ns       114600
IsingYY<float>/AVX2/10                            12758 ns        12757 ns        54728
IsingYY<float>/AVX2/12                            39565 ns        39564 ns        17516
IsingYY<float>/AVX2/14                           152836 ns       152828 ns         4554
IsingYY<float>/AVX2/16                           602110 ns       602084 ns         1177
IsingYY<float>/AVX2/18                          3473976 ns      3473984 ns          201
IsingYY<float>/AVX2/20                         15430425 ns     15430470 ns           46
IsingYY<float>/AVX2/22                        116072687 ns    116065999 ns            6
IsingYY<float>/AVX2/24                        522141550 ns    522143153 ns            1
S<float>/AVX2/6                                    3546 ns         3545 ns       198744
S<float>/AVX2/8                                    4783 ns         4783 ns       146632
S<float>/AVX2/10                                   8965 ns         8965 ns        75942
S<float>/AVX2/12                                  25505 ns        25504 ns        26567
S<float>/AVX2/14                                  91906 ns        91902 ns         7549
S<float>/AVX2/16                                 456788 ns       456789 ns         1959
S<float>/AVX2/18                                2638240 ns      2638245 ns          304
S<float>/AVX2/20                               10918922 ns     10918400 ns           68
S<float>/AVX2/22                               86788211 ns     86780274 ns            8
S<float>/AVX2/24                              350653956 ns    350654619 ns            2
IsingZZ<float>/AVX2/6                              4473 ns         4473 ns       158519
IsingZZ<float>/AVX2/8                              6152 ns         6152 ns       114509
IsingZZ<float>/AVX2/10                            13228 ns        13228 ns        52784
IsingZZ<float>/AVX2/12                            42209 ns        42209 ns        16765
IsingZZ<float>/AVX2/14                           157193 ns       157192 ns         4457
IsingZZ<float>/AVX2/16                           615156 ns       615126 ns         1185
IsingZZ<float>/AVX2/18                          3486760 ns      3486671 ns          201
IsingZZ<float>/AVX2/20                         15152281 ns     15151908 ns           46
IsingZZ<float>/AVX2/22                        111814411 ns    111805864 ns            6
IsingZZ<float>/AVX2/24                        508368328 ns    508290682 ns            1
T<float>/AVX2/6                                    3510 ns         3509 ns       197707
T<float>/AVX2/8                                    4840 ns         4839 ns       144738
T<float>/AVX2/10                                   9451 ns         9450 ns        75506
T<float>/AVX2/12                                  27644 ns        27643 ns        24001
T<float>/AVX2/14                                 104228 ns       104220 ns         6657
T<float>/AVX2/16                                 437748 ns       437722 ns         1650
T<float>/AVX2/18                                2553538 ns      2553542 ns          296
T<float>/AVX2/20                               10712466 ns     10712371 ns           61
T<float>/AVX2/22                               84846291 ns     84844892 ns            8
T<float>/AVX2/24                              379925760 ns    379879128 ns            2
