```
$ docker container run -it --rm 515ef2898ccc /opt/install/bin/bench_kernels
2023-01-02T06:59:47+00:00
Running /opt/install/bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 1.00, 0.63, 0.57
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
CZ<float>/AVX512/16                              270182 ns       270162 ns         2720
CZ<float>/AVX512/18                             1583201 ns      1583051 ns          430
CZ<float>/AVX512/20                             7785578 ns      7785224 ns           82
CZ<float>/AVX512/22                            67443171 ns     67431826 ns           11
CZ<float>/AVX512/24                           281121461 ns    281103243 ns            3
SWAP<float>/AVX512/6                               4894 ns         4893 ns       143802
SWAP<float>/AVX512/8                               5300 ns         5300 ns       130011
SWAP<float>/AVX512/10                              7384 ns         7384 ns        94492
SWAP<float>/AVX512/12                             15908 ns        15908 ns        44065
SWAP<float>/AVX512/14                             64723 ns        64722 ns        10942
SWAP<float>/AVX512/16                            245645 ns       245635 ns         2776
SWAP<float>/AVX512/18                           2060224 ns      2060228 ns          351
SWAP<float>/AVX512/20                          10904194 ns     10903179 ns           63
SWAP<float>/AVX512/22                          88403277 ns     88398318 ns            8
SWAP<float>/AVX512/24                         419178125 ns    419117415 ns            2
CNOT<float>/AVX512/6                               4627 ns         4627 ns       153653
CNOT<float>/AVX512/8                               5121 ns         5120 ns       136764
CNOT<float>/AVX512/10                              7053 ns         7053 ns       100661
CNOT<float>/AVX512/12                             14528 ns        14528 ns        50581
CNOT<float>/AVX512/14                             56815 ns        56815 ns        11399
CNOT<float>/AVX512/16                            218479 ns       218460 ns         3395
CNOT<float>/AVX512/18                           2090941 ns      2090751 ns          348
CNOT<float>/AVX512/20                           9864654 ns      9862111 ns           73
CNOT<float>/AVX512/22                          80081753 ns     80073571 ns            9
CNOT<float>/AVX512/24                         357794512 ns    357781023 ns            2
IsingZZ<float>/AVX512/6                            5223 ns         5222 ns       137180
IsingZZ<float>/AVX512/8                            9867 ns         9866 ns        70219
IsingZZ<float>/AVX512/10                          14557 ns        14556 ns        47843
IsingZZ<float>/AVX512/12                          36775 ns        36775 ns        18901
IsingZZ<float>/AVX512/14                         147919 ns       147907 ns         4755
IsingZZ<float>/AVX512/16                         581591 ns       581550 ns         1179
IsingZZ<float>/AVX512/18                        4090023 ns      4089782 ns          171
IsingZZ<float>/AVX512/20                       17883014 ns     17882270 ns           39
IsingZZ<float>/AVX512/22                      119518868 ns    119505036 ns            6
IsingZZ<float>/AVX512/24                      541469710 ns    541421457 ns            1
IsingXX<float>/AVX512/6                            5105 ns         5105 ns       138521
IsingXX<float>/AVX512/8                            9651 ns         9650 ns        73116
IsingXX<float>/AVX512/10                          14385 ns        14383 ns        49210
IsingXX<float>/AVX512/12                          35660 ns        35653 ns        19743
IsingXX<float>/AVX512/14                         146722 ns       146688 ns         4765
IsingXX<float>/AVX512/16                         573314 ns       573181 ns         1221
IsingXX<float>/AVX512/18                        4119962 ns      4119502 ns          172
IsingXX<float>/AVX512/20                       17901913 ns     17901255 ns           39
IsingXX<float>/AVX512/22                      119467555 ns    119453607 ns            6
IsingXX<float>/AVX512/24                      540725127 ns    540660817 ns            1
PhaseShift<float>/AVX512/6                         5520 ns         5519 ns       127426
PhaseShift<float>/AVX512/8                        10268 ns        10267 ns        68413
PhaseShift<float>/AVX512/10                       14818 ns        14818 ns        48054
PhaseShift<float>/AVX512/12                       32237 ns        32234 ns        21244
PhaseShift<float>/AVX512/14                      114126 ns       114118 ns         6068
PhaseShift<float>/AVX512/16                      410884 ns       410845 ns         1831
PhaseShift<float>/AVX512/18                     2544267 ns      2544117 ns          290
PhaseShift<float>/AVX512/20                    12967539 ns     12967569 ns           60
PhaseShift<float>/AVX512/22                    89390901 ns     89385053 ns            7
PhaseShift<float>/AVX512/24                   388572664 ns    388538062 ns            2
SingleQubitOp<float>/AVX512/6/1                    6751 ns         6750 ns       102050
SingleQubitOp<float>/AVX512/8/1                    9209 ns         9207 ns        75969
SingleQubitOp<float>/AVX512/10/1                  18092 ns        18092 ns        38660
SingleQubitOp<float>/AVX512/12/1                  54769 ns        54768 ns        12443
SingleQubitOp<float>/AVX512/14/1                 207882 ns       207844 ns         3370
SingleQubitOp<float>/AVX512/16/1                 801785 ns       801786 ns          876
SingleQubitOp<float>/AVX512/18/1                4360194 ns      4360070 ns          162
SingleQubitOp<float>/AVX512/20/1               18910099 ns     18909033 ns           38
SingleQubitOp<float>/AVX512/22/1              128293375 ns    128289360 ns            5
SingleQubitOp<float>/AVX512/24/1              562464535 ns    562413733 ns            1
GeneratorRZ<float>/AVX2/6                          4766 ns         4765 ns       148293
GeneratorRZ<float>/AVX2/8                          5757 ns         5757 ns       121171
GeneratorRZ<float>/AVX2/10                         9155 ns         9154 ns        76034
GeneratorRZ<float>/AVX2/12                        23051 ns        23050 ns        30393
GeneratorRZ<float>/AVX2/14                        81919 ns        81916 ns         8564
GeneratorRZ<float>/AVX2/16                       316507 ns       316465 ns         2276
GeneratorRZ<float>/AVX2/18                      2171765 ns      2171545 ns          327
GeneratorRZ<float>/AVX2/20                     10226668 ns     10225880 ns           68
GeneratorRZ<float>/AVX2/22                     81932782 ns     81924281 ns            8
GeneratorRZ<float>/AVX2/24                    385043396 ns    385044643 ns            2
GeneratorRY<float>/AVX2/6                          4767 ns         4767 ns       146589
GeneratorRY<float>/AVX2/8                          6179 ns         6179 ns       111041
GeneratorRY<float>/AVX2/10                        11365 ns        11364 ns        63719
GeneratorRY<float>/AVX2/12                        33692 ns        33688 ns        20906
GeneratorRY<float>/AVX2/14                       114659 ns       114652 ns         5956
GeneratorRY<float>/AVX2/16                       463135 ns       463131 ns         1530
GeneratorRY<float>/AVX2/18                      3240985 ns      3240653 ns          217
GeneratorRY<float>/AVX2/20                     14354213 ns     14352144 ns           49
GeneratorRY<float>/AVX2/22                    110265657 ns    110244588 ns            6
