```
$ ./benchmark_all.sh 
2023-01-01T19:40:25+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 2.37, 1.92, 1.59
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
GeneratorRY<float>/AVX2/20                     16354766 ns     16353182 ns           41
GeneratorRY<float>/AVX2/22                    110057781 ns    110047079 ns            6
GeneratorRY<float>/AVX2/24                    514159050 ns    514154178 ns            1
GeneratorRX<float>/AVX2/6                          3373 ns         3373 ns       209461
GeneratorRX<float>/AVX2/8                          4534 ns         4534 ns       154766
GeneratorRX<float>/AVX2/10                         9774 ns         9774 ns        73156
GeneratorRX<float>/AVX2/12                        30497 ns        30497 ns        23340
GeneratorRX<float>/AVX2/14                       114718 ns       114712 ns         6156
GeneratorRX<float>/AVX2/16                       443052 ns       443053 ns         1551
GeneratorRX<float>/AVX2/18                      3415564 ns      3415368 ns          202
GeneratorRX<float>/AVX2/20                     14701484 ns     14701379 ns           46
GeneratorRX<float>/AVX2/22                    104295846 ns    104285549 ns            6
GeneratorRX<float>/AVX2/24                    495984160 ns    495980425 ns            2
RX<float>/AVX2/6                                   4343 ns         4343 ns       163546
RX<float>/AVX2/8                                   5973 ns         5973 ns       114927
RX<float>/AVX2/10                                 13269 ns        13269 ns        52972
RX<float>/AVX2/12                                 42249 ns        42249 ns        16797
RX<float>/AVX2/14                                260608 ns       260592 ns         2687
RX<float>/AVX2/16                                791509 ns       791502 ns          902
RX<float>/AVX2/18                               3950756 ns      3950515 ns          182
RX<float>/AVX2/20                              15950983 ns     15951025 ns           43
RX<float>/AVX2/22                             112197745 ns    112189783 ns            6
RX<float>/AVX2/24                             517404856 ns    517358552 ns            1
RY<float>/AVX2/6                                   4298 ns         4298 ns       164501
RY<float>/AVX2/8                                   5849 ns         5848 ns       119218
RY<float>/AVX2/10                                 12566 ns        12566 ns        56610
RY<float>/AVX2/12                                 39019 ns        39017 ns        18151
RY<float>/AVX2/14                                146891 ns       146890 ns         4837
RY<float>/AVX2/16                                613985 ns       613975 ns         1232
RY<float>/AVX2/18                               3689639 ns      3689646 ns          182
RY<float>/AVX2/20                              15962873 ns     15962247 ns           44
RY<float>/AVX2/22                             109733376 ns    109718778 ns            6
RY<float>/AVX2/24                             505043270 ns    505018585 ns            1
RZ<float>/AVX2/6                                   4307 ns         4307 ns       162604
RZ<float>/AVX2/8                                   6522 ns         6522 ns       110495
RZ<float>/AVX2/10                                 15452 ns        15452 ns        48023
RZ<float>/AVX2/12                                 50858 ns        50857 ns        13426
RZ<float>/AVX2/14                                197412 ns       197410 ns         3717
RZ<float>/AVX2/16                                746567 ns       746526 ns          925
RZ<float>/AVX2/18                               3831539 ns      3831544 ns          182
RZ<float>/AVX2/20                              16234171 ns     16232995 ns           42
RZ<float>/AVX2/22                             109944112 ns    109939791 ns            6
RZ<float>/AVX2/24                             514019966 ns    513999305 ns            2
Rot<float>/AVX2/6                                  7889 ns         7889 ns        89703
Rot<float>/AVX2/8                                 10413 ns        10412 ns        67684
Rot<float>/AVX2/10                                20027 ns        20026 ns        34390
Rot<float>/AVX2/12                                59826 ns        59823 ns        11859
Rot<float>/AVX2/14                               217447 ns       217445 ns         3262
Rot<float>/AVX2/16                               836673 ns       836674 ns          835
Rot<float>/AVX2/18                              4093685 ns      4093659 ns          171
Rot<float>/AVX2/20                             18065657 ns     18065700 ns           39
