```
$ ./bin/bench_kernels 
2023-01-11T22:19:47+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 5.90, 5.86, 5.84
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
IsingYY<float>/AVX2/6                              4896 ns         4895 ns       143707
IsingYY<float>/AVX2/8                              6764 ns         6763 ns       106200
IsingYY<float>/AVX2/10                            12691 ns        12689 ns        53720
IsingYY<float>/AVX2/12                            38004 ns        37999 ns        18447
IsingYY<float>/AVX2/14                           142855 ns       142844 ns         4973
IsingYY<float>/AVX2/16                           558951 ns       558828 ns         1248
IsingYY<float>/AVX2/18                          3348793 ns      3347923 ns          211
IsingYY<float>/AVX2/20                         14837293 ns     14833987 ns           47
IsingYY<float>/AVX2/22                        113239060 ns    113220750 ns            6
IsingYY<float>/AVX2/24                        536281062 ns    536232825 ns            1
Hadamard<float>/AVX2/6                             4392 ns         4391 ns       167388
Hadamard<float>/AVX2/8                             5787 ns         5787 ns       112360
Hadamard<float>/AVX2/10                           93561 ns        93556 ns        38819
Hadamard<float>/AVX2/12                          170837 ns       170833 ns        12341
Hadamard<float>/AVX2/14                          436320 ns       436296 ns         2594
Hadamard<float>/AVX2/16                         1667716 ns      1667619 ns          873
Hadamard<float>/AVX2/18                         3714126 ns      3713794 ns          181
Hadamard<float>/AVX2/20                        17315344 ns     17314891 ns           38
Hadamard<float>/AVX2/22                       122804785 ns    122789738 ns            6
Hadamard<float>/AVX2/24                       552053414 ns    552055714 ns            1
Rot<float>/AVX2/6                                 11333 ns        11333 ns        62609
Rot<float>/AVX2/8                                 12934 ns        12933 ns        53399
Rot<float>/AVX2/10                                21076 ns        21076 ns        33114
Rot<float>/AVX2/12                                57862 ns        57856 ns        12409
Rot<float>/AVX2/14                               204001 ns       203995 ns         3429
Rot<float>/AVX2/16                               797683 ns       797621 ns          898
Rot<float>/AVX2/18                              3898097 ns      3897880 ns          176
Rot<float>/AVX2/20                             16993289 ns     16991832 ns           41
Rot<float>/AVX2/22                            115421683 ns    115408507 ns            6
Rot<float>/AVX2/24                            528884461 ns    528819460 ns            1
RZ<float>/AVX2/6                                   4547 ns         4546 ns       153725
RZ<float>/AVX2/8                                   6283 ns         6282 ns       110515
RZ<float>/AVX2/10                                 12747 ns        12747 ns        54446
RZ<float>/AVX2/12                                 39171 ns        39168 ns        17817
RZ<float>/AVX2/14                                151191 ns       151192 ns         4560
RZ<float>/AVX2/16                                575096 ns       575056 ns         1196
RZ<float>/AVX2/18                               3550206 ns      3550213 ns          195
RZ<float>/AVX2/20                              15709513 ns     15707474 ns           45
RZ<float>/AVX2/22                             122136028 ns    122126872 ns            6
RZ<float>/AVX2/24                             543960767 ns    543871462 ns            1
RY<float>/AVX2/6                                   4729 ns         4728 ns       148921
RY<float>/AVX2/8                                   6138 ns         6138 ns       112855
RY<float>/AVX2/10                                 12060 ns        12059 ns        60817
RY<float>/AVX2/12                                 34028 ns        34027 ns        20795
RY<float>/AVX2/14                                126647 ns       126644 ns         5621
RY<float>/AVX2/16                                485411 ns       485399 ns         1432
RY<float>/AVX2/18                               3486015 ns      3485883 ns          203
RY<float>/AVX2/20                              15129121 ns     15127480 ns           46
RY<float>/AVX2/22                             113592809 ns    113585219 ns            6
RY<float>/AVX2/24                             513980485 ns    513919067 ns            1
RX<float>/AVX2/6                                   4602 ns         4601 ns       152434
RX<float>/AVX2/8                                   6402 ns         6402 ns       108914
RX<float>/AVX2/10                                 13182 ns        13182 ns        52696
RX<float>/AVX2/12                                 40552 ns        40549 ns        17570
RX<float>/AVX2/14                                149353 ns       149348 ns         4760
RX<float>/AVX2/16                                584809 ns       584783 ns         1206
RX<float>/AVX2/18                               3574440 ns      3574346 ns          198
RX<float>/AVX2/20                              15527164 ns     15526406 ns           45
RX<float>/AVX2/22                             110837818 ns    110810147 ns            6
RX<float>/AVX2/24                             512615781 ns    512596976 ns            1
SWAP<float>/AVX2/6                                 4368 ns         4368 ns       163717
SWAP<float>/AVX2/8                                 5473 ns         5473 ns       132055
SWAP<float>/AVX2/10                                8090 ns         8090 ns        80649
SWAP<float>/AVX2/12                               22891 ns        22891 ns        29184
SWAP<float>/AVX2/14                               80199 ns        80195 ns         8254
SWAP<float>/AVX2/16                              329964 ns       329939 ns         2196
SWAP<float>/AVX2/18                             2277724 ns      2277701 ns          287
SWAP<float>/AVX2/20                            11242661 ns     11241595 ns           58
SWAP<float>/AVX2/22                            86208434 ns     86195339 ns            7
SWAP<float>/AVX2/24                           411055862 ns    411007010 ns            2
CZ<float>/AVX2/6                                   4074 ns         4073 ns       175104
CZ<float>/AVX2/8                                   4961 ns         4961 ns       141423
CZ<float>/AVX2/10                                  7934 ns         7934 ns        95278
CZ<float>/AVX2/12                                 19804 ns        19802 ns        37647
CZ<float>/AVX2/14                                 67391 ns        67387 ns        11137
CZ<float>/AVX2/16                                255757 ns       255724 ns         2899
CZ<float>/AVX2/18                               1730302 ns      1730129 ns          490
CZ<float>/AVX2/20                               7978813 ns      7978130 ns           96
CZ<float>/AVX2/22                              67809768 ns     67741656 ns           11
CZ<float>/AVX2/24                             294715227 ns    294639596 ns            2
CNOT<float>/AVX2/6                                 3686 ns         3686 ns       188734
CNOT<float>/AVX2/8                                 4567 ns         4567 ns       154087
CNOT<float>/AVX2/10                                8156 ns         8156 ns        96980
CNOT<float>/AVX2/12                               20548 ns        20546 ns        34195
CNOT<float>/AVX2/14                               67868 ns        67863 ns        11344
CNOT<float>/AVX2/16                              279919 ns       279883 ns         2654
CNOT<float>/AVX2/18                             2069736 ns      2069651 ns          346
CNOT<float>/AVX2/20                             9836417 ns      9835782 ns           71
CNOT<float>/AVX2/22                            77157882 ns     77154141 ns            9
CNOT<float>/AVX2/24                           366781535 ns    366766399 ns            2
IsingZZ<float>/AVX2/6                              4699 ns         4699 ns       147582
