```
$docker container run -it --rm 515ef2898ccc /opt/install/bin/bench_kernels
2023-01-04T05:22:41+00:00
Running /opt/install/bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.62, 0.58, 0.72
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
Hadamard<float>/AVX2/24                       485616582 ns    485583846 ns            2
Rot<float>/AVX2/6                                 11143 ns        11142 ns        62952
Rot<float>/AVX2/8                                 13141 ns        13140 ns        53244
Rot<float>/AVX2/10                                21042 ns        21041 ns        33235
Rot<float>/AVX2/12                                56389 ns        56388 ns        12645
Rot<float>/AVX2/14                               194986 ns       194968 ns         3485
Rot<float>/AVX2/16                               749882 ns       749781 ns          929
Rot<float>/AVX2/18                              3624536 ns      3623932 ns          193
Rot<float>/AVX2/20                             15882404 ns     15878552 ns           44
Rot<float>/AVX2/22                            117598601 ns    117592138 ns            6
Rot<float>/AVX2/24                            534638310 ns    534620069 ns            1
RZ<float>/AVX2/6                                   5416 ns         5416 ns       129170
RZ<float>/AVX2/8                                   6845 ns         6845 ns       101364
RZ<float>/AVX2/10                                 12427 ns        12426 ns        55698
RZ<float>/AVX2/12                                 37262 ns        37259 ns        18552
RZ<float>/AVX2/14                                140251 ns       140247 ns         4982
RZ<float>/AVX2/16                                552067 ns       552023 ns         1289
RZ<float>/AVX2/18                               3253970 ns      3253860 ns          216
RZ<float>/AVX2/20                              14336773 ns     14335010 ns           48
RZ<float>/AVX2/22                             108972032 ns    108964298 ns            6
RZ<float>/AVX2/24                             511562986 ns    511402764 ns            1
RY<float>/AVX2/6                                   5328 ns         5327 ns       134059
RY<float>/AVX2/8                                   6617 ns         6616 ns       107556
RY<float>/AVX2/10                                 11398 ns        11397 ns        61914
RY<float>/AVX2/12                                 32253 ns        32251 ns        21470
RY<float>/AVX2/14                                194377 ns       194358 ns         3616
RY<float>/AVX2/16                                752127 ns       752042 ns          939
RY<float>/AVX2/18                               3896539 ns      3896250 ns          177
RY<float>/AVX2/20                              16060634 ns     16058425 ns           42
RY<float>/AVX2/22                             104396829 ns    104389395 ns            6
RY<float>/AVX2/24                             496361417 ns    496308947 ns            2
RX<float>/AVX2/6                                   5379 ns         5378 ns       133897
RX<float>/AVX2/8                                   6820 ns         6819 ns       102320
RX<float>/AVX2/10                                 12723 ns        12723 ns        55569
RX<float>/AVX2/12                                 39592 ns        39586 ns        16673
RX<float>/AVX2/14                                230113 ns       230072 ns         2997
RX<float>/AVX2/16                                891494 ns       891438 ns          772
RX<float>/AVX2/18                               3951611 ns      3951451 ns          173
RX<float>/AVX2/20                              16821619 ns     16820464 ns           41
RX<float>/AVX2/22                             112648246 ns    112638336 ns            6
RX<float>/AVX2/24                             507164069 ns    507139004 ns            1
SWAP<float>/AVX2/6                                 5042 ns         5042 ns       100000
SWAP<float>/AVX2/8                                 5987 ns         5986 ns       116028
SWAP<float>/AVX2/10                               10703 ns        10702 ns        69429
SWAP<float>/AVX2/12                               24327 ns        24325 ns        26687
SWAP<float>/AVX2/14                               91177 ns        91169 ns         7441
SWAP<float>/AVX2/16                              342329 ns       342327 ns         2103
SWAP<float>/AVX2/18                             2093184 ns      2093168 ns          311
SWAP<float>/AVX2/20                            11246499 ns     11245610 ns           64
SWAP<float>/AVX2/22                            84199479 ns     84190598 ns            8
SWAP<float>/AVX2/24                           389026125 ns    388987477 ns            2
CZ<float>/AVX2/6                                   4716 ns         4715 ns       147577
CZ<float>/AVX2/8                                   5628 ns         5627 ns       129779
CZ<float>/AVX2/10                                  8371 ns         8370 ns        89963
CZ<float>/AVX2/12                                 18722 ns        18719 ns        37286
CZ<float>/AVX2/14                                 62076 ns        62067 ns        11759
CZ<float>/AVX2/16                                235266 ns       235248 ns         3078
CZ<float>/AVX2/18                               1473930 ns      1473743 ns          490
CZ<float>/AVX2/20                               7434150 ns      7433034 ns           87
CZ<float>/AVX2/22                              59885821 ns     59877139 ns           10
CZ<float>/AVX2/24                             283377035 ns    283333429 ns            3
CNOT<float>/AVX2/6                                 4510 ns         4510 ns       155943
CNOT<float>/AVX2/8                                 5281 ns         5280 ns       133043
CNOT<float>/AVX2/10                                8369 ns         8369 ns        83364
CNOT<float>/AVX2/12                               21712 ns        21710 ns        34176
CNOT<float>/AVX2/14                               66362 ns        66352 ns         9628
CNOT<float>/AVX2/16                              273564 ns       273524 ns         2478
CNOT<float>/AVX2/18                             2024812 ns      2024664 ns          391
CNOT<float>/AVX2/20                             9641579 ns      9640866 ns           68
CNOT<float>/AVX2/22                            78881140 ns     78867325 ns            8
CNOT<float>/AVX2/24                           358901259 ns    358866739 ns            2
IsingZZ<float>/AVX2/6                              5696 ns         5696 ns       128516
IsingZZ<float>/AVX2/8                              7060 ns         7059 ns        99156
IsingZZ<float>/AVX2/10                            13045 ns        13045 ns        55047
IsingZZ<float>/AVX2/12                            37581 ns        37579 ns        18774
IsingZZ<float>/AVX2/14                           226400 ns       226368 ns         3683
IsingZZ<float>/AVX2/16                           748147 ns       747990 ns          799
IsingZZ<float>/AVX2/18                          3683214 ns      3682762 ns          195
IsingZZ<float>/AVX2/20                         14279788 ns     14278190 ns           47
