```
$ ./bin/bench_kernels
2023-01-04T06:35:37+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.52, 0.65, 1.03
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
PauliX<float>/AVX512/14                           87811 ns        87794 ns         7807
PauliX<float>/AVX512/16                          350166 ns       350005 ns         1997
PauliX<float>/AVX512/18                         3145252 ns      3144229 ns          221
PauliX<float>/AVX512/20                        13822260 ns     13815372 ns           49
PauliX<float>/AVX512/22                       102855835 ns    102832115 ns            6
PauliX<float>/AVX512/24                       479617820 ns    479441652 ns            2
PhaseShift<float>/AVX512/6                         4268 ns         4267 ns       164711
PhaseShift<float>/AVX512/8                         8476 ns         8473 ns        85278
PhaseShift<float>/AVX512/10                       13054 ns        13052 ns        53605
PhaseShift<float>/AVX512/12                       30718 ns        30704 ns        22492
PhaseShift<float>/AVX512/14                      111376 ns       111355 ns         5995
PhaseShift<float>/AVX512/16                      447243 ns       446978 ns         1598
PhaseShift<float>/AVX512/18                     2644599 ns      2643885 ns          268
PhaseShift<float>/AVX512/20                    11651515 ns     11649873 ns           58
PhaseShift<float>/AVX512/22                    77729912 ns     77716586 ns            8
PhaseShift<float>/AVX512/24                   382078253 ns    382014595 ns            2
Hadamard<float>/AVX512/6                           3364 ns         3363 ns       211185
Hadamard<float>/AVX512/8                           6882 ns         6879 ns       100484
Hadamard<float>/AVX512/10                         12835 ns        12829 ns        53163
Hadamard<float>/AVX512/12                         37409 ns        37402 ns        18749
Hadamard<float>/AVX512/14                        157256 ns       157191 ns         3856
Hadamard<float>/AVX512/16                        590733 ns       590577 ns         1198
Hadamard<float>/AVX512/18                       4903608 ns      4902671 ns          161
Hadamard<float>/AVX512/20                      18896966 ns     18893621 ns           38
Hadamard<float>/AVX512/22                     115812165 ns    115791019 ns            6
Hadamard<float>/AVX512/24                     554636210 ns    554426248 ns            1
SingleQubitOp<float>/AVX512/6/1                    4880 ns         4879 ns       143378
SingleQubitOp<float>/AVX512/8/1                    7325 ns         7322 ns        95347
SingleQubitOp<float>/AVX512/10/1                  16861 ns        16852 ns        40216
SingleQubitOp<float>/AVX512/12/1                  60126 ns        60119 ns        12205
SingleQubitOp<float>/AVX512/14/1                 219843 ns       219811 ns         3258
SingleQubitOp<float>/AVX512/16/1                 858534 ns       858397 ns          839
SingleQubitOp<float>/AVX512/18/1                4622871 ns      4621932 ns          156
SingleQubitOp<float>/AVX512/20/1               19282093 ns     19278784 ns           35
SingleQubitOp<float>/AVX512/22/1              123393709 ns    123349396 ns            6
SingleQubitOp<float>/AVX512/24/1              571043808 ns    570784777 ns            1
GeneratorRZ<float>/AVX2/6                          3655 ns         3654 ns       189891
GeneratorRZ<float>/AVX2/8                          5194 ns         5192 ns       131474
GeneratorRZ<float>/AVX2/10                        11219 ns        11219 ns        62808
GeneratorRZ<float>/AVX2/12                        34557 ns        34543 ns        20328
GeneratorRZ<float>/AVX2/14                       188121 ns       188080 ns         5526
GeneratorRZ<float>/AVX2/16                       712031 ns       711879 ns          912
GeneratorRZ<float>/AVX2/18                      2722205 ns      2721615 ns          257
GeneratorRZ<float>/AVX2/20                     11970759 ns     11968589 ns           60
GeneratorRZ<float>/AVX2/22                     78243813 ns     78173221 ns            8
GeneratorRZ<float>/AVX2/24                    371729353 ns    371617902 ns            2
GeneratorRY<float>/AVX2/6                          3610 ns         3609 ns       195263
GeneratorRY<float>/AVX2/8                          5185 ns         5183 ns       130572
GeneratorRY<float>/AVX2/10                        12192 ns        12187 ns        57285
GeneratorRY<float>/AVX2/12                        37500 ns        37486 ns        17245
GeneratorRY<float>/AVX2/14                       198904 ns       198809 ns         3391
GeneratorRY<float>/AVX2/16                       933694 ns       933448 ns          756
GeneratorRY<float>/AVX2/18                      4391217 ns      4389527 ns          179
GeneratorRY<float>/AVX2/20                     15184270 ns     15178921 ns           45
GeneratorRY<float>/AVX2/22                    110286015 ns    110271978 ns            6
GeneratorRY<float>/AVX2/24                    512678651 ns    512270707 ns            1
GeneratorRX<float>/AVX2/6                          3286 ns         3285 ns       211083
GeneratorRX<float>/AVX2/8                          4422 ns         4422 ns       154412
GeneratorRX<float>/AVX2/10                         9856 ns         9853 ns        74568
GeneratorRX<float>/AVX2/12                        29693 ns        29681 ns        22998
GeneratorRX<float>/AVX2/14                       112805 ns       112763 ns         6318
GeneratorRX<float>/AVX2/16                       427035 ns       426852 ns         1610
GeneratorRX<float>/AVX2/18                      3252049 ns      3251125 ns          217
GeneratorRX<float>/AVX2/20                     14366657 ns     14359695 ns           47
GeneratorRX<float>/AVX2/22                    115644674 ns    115614654 ns            6
GeneratorRX<float>/AVX2/24                    513592770 ns    513457299 ns            1
RX<float>/AVX2/6                                   4348 ns         4346 ns       162410
RX<float>/AVX2/8                                   6008 ns         6007 ns       117473
RX<float>/AVX2/10                                 12795 ns        12789 ns        53138
RX<float>/AVX2/12                                 42112 ns        42103 ns        16737
RX<float>/AVX2/14                                259638 ns       259508 ns         2751
RX<float>/AVX2/16                                732458 ns       732040 ns          889
RX<float>/AVX2/18                               3674557 ns      3672298 ns          185
RX<float>/AVX2/20                              15639393 ns     15633891 ns           44
RX<float>/AVX2/22                             116444864 ns    116378079 ns            6
RX<float>/AVX2/24                             540564584 ns    540504848 ns            1
RY<float>/AVX2/6                                   4354 ns         4352 ns       161944
RY<float>/AVX2/8                                   5911 ns         5910 ns       117676
RY<float>/AVX2/10                                 12456 ns        12452 ns        55827
RY<float>/AVX2/12                                 39796 ns        39793 ns        17599
RY<float>/AVX2/14                                234294 ns       234237 ns         3353
RY<float>/AVX2/16                                744055 ns       743791 ns         1115
RY<float>/AVX2/18                               3751701 ns      3750947 ns          197
RY<float>/AVX2/20                              15234056 ns     15226621 ns           44
RY<float>/AVX2/22                             117203999 ns    117149874 ns            6
RY<float>/AVX2/24                             512512553 ns    512389479 ns            1
RZ<float>/AVX2/6                                   4378 ns         4377 ns       160113
RZ<float>/AVX2/8                                   6316 ns         6315 ns       106901
RZ<float>/AVX2/10                                 15293 ns        15290 ns        46429
RZ<float>/AVX2/12                                 51703 ns        51684 ns        13806
RZ<float>/AVX2/14                                193005 ns       192939 ns         3693
RZ<float>/AVX2/16                                739804 ns       739580 ns          928
RZ<float>/AVX2/18                               3668996 ns      3667494 ns          188
RZ<float>/AVX2/20                              15773275 ns     15766782 ns           43
RZ<float>/AVX2/22                             105362815 ns    105346334 ns            6
RZ<float>/AVX2/24                             513627199 ns    513504064 ns            2
Rot<float>/AVX2/6                                  7767 ns         7764 ns        89259
Rot<float>/AVX2/8                                 10325 ns        10323 ns        68004
Rot<float>/AVX2/10                                19806 ns        19804 ns        34438
Rot<float>/AVX2/12                                58638 ns        58633 ns        11696
Rot<float>/AVX2/14                               215077 ns       215022 ns         3256
Rot<float>/AVX2/16                               836113 ns       835743 ns          813
Rot<float>/AVX2/18                              4038014 ns      4036521 ns          174
Rot<float>/AVX2/20                             17138564 ns     17131328 ns           40
Rot<float>/AVX2/22                            120717165 ns    120679044 ns            6
Rot<float>/AVX2/24                            533198861 ns    533102084 ns            1
